"Time";"CantTweet"
"1429897184281";"0"
"1429897185282";"0"
"1429897186282";"7"
"1429897187282";"94"
"1429897188282";"49"
"1429897189282";"48"
"1429897190283";"48"
"1429897191283";"48"
"1429897192283";"48"
"1429897193283";"48"
"1429897194283";"48"
"1429897195284";"48"
"1429897196284";"48"
"1429897197284";"48"
"1429897198284";"48"
"1429897199285";"48"
"1429897200285";"48"
"1429897201285";"48"
"1429897202285";"48"
"1429897203285";"48"
"1429897204286";"48"
"1429897205286";"23"
"1429897206286";"68"
"1429897207286";"39"
"1429897208286";"52"
"1429897209287";"28"
"1429897210287";"55"
"1429897211287";"51"
"1429897212288";"36"
"1429897213288";"58"
"1429897214288";"53"
"1429897215289";"35"
"1429897216289";"57"
"1429897217289";"49"
"1429897218289";"55"
"1429897219290";"49"
"1429897220290";"48"
"1429897221290";"49"
"1429897222290";"58"
"1429897223290";"49"
"1429897224291";"48"
"1429897225291";"48"
"1429897226291";"48"
"1429897227291";"48"
"1429897228292";"48"
"1429897229292";"48"
"1429897230292";"48"
"1429897231292";"48"
"1429897232292";"27"
"1429897233293";"47"
"1429897234293";"41"
"1429897235293";"46"
"1429897236293";"49"
"1429897237294";"54"
"1429897238294";"58"
"1429897239294";"49"
"1429897240294";"61"
"1429897241295";"48"
"1429897242295";"48"
"1429897243295";"48"
"1429897244295";"48"
"1429897245296";"48"
"1429897246296";"48"
"1429897247296";"48"
"1429897248296";"48"
"1429897249297";"48"
